from,to,weight
Argentina,Belize,2037
Argentina,Bolivia,13898
Argentina,Canada,14351
Argentina,Morocco,13033
Argentina,Southern,7854
Australia,Bangladesh,304
Australia,Canada,17197
Australia,Egypt,10589
Australia,Guatemala,3384
Australia,Honduras,72387
Australia,Japan,24560
Australia,Latvia,76989
Australia,New,9497
Australia,Paraguay,42536
Australia,Portugal,1716
Austria,Algeria,3599
Austria,Australia,15533
Austria,Belgium,36169
Austria,Colombia,9044
Austria,Cyprus,48573
Austria,Czech,25688
Austria,Denmark,2916
Austria,El,13274
Austria,Salvador,14600
Austria,Finland,996567
Austria,France,7555
Austria,Greece,90867
Austria,Guadeloupe,806
Austria,Honduras,19990
Austria,Hong,8926
Austria,Kong,10773
Austria,Hungary,115397
Austria,Israel,253
Austria,Kuwait,44835
Austria,Latvia,3071
Austria,Malaysia,15952
Austria,Zealand,15047
Austria,Nicaragua,5449
Austria,Norway,154
Austria,Pakistan,6253
Austria,Peru,35286
Austria,Philippines,7741
Austria,Poland,21348
Austria,Moldava.,29524
Austria,Rep.,159097
Austria,Romania,1421
Austria,Seychelles,5957
Austria,Singapore,96667
Barbados,/Lux.,502
Barbados,Reunion,4491
Belgium,Algeria,12994
Belgium,Argentina,10198
Belgium,Austria,32959
Belgium,Bolivia,5043
Belgium,Colombia,1433
Belgium,Croatia,1000
Belgium,Cyprus,6275
Belgium,Czech,26894
Belgium,Rep.,2158
Belgium,Denmark,3662
Belgium,El,9726
Belgium,Salvador,101487
Belgium,Finland,398266
Belgium,France,22260
Belgium,Mon.,1586
Belgium,Guiana,2394
Belgium,Greece,9062
Belgium,Guatemala,8709
Belgium,Hong,9288
Belgium,Kong,15385
Belgium,Hungary,79584
Belgium,India,1170
Belgium,Indonesia,26821
Belgium,Italy,1518
Belgium,Jordan,1811
Belgium,Korea.,1594
Belgium,Of,4899
Belgium,Kuwait,474054
Belgium,Latvia,3881
Belgium,Malaysia,21765
Belgium,Zealand,15503
Belgium,Nicaragua,13031
Belgium,Oman,2901
Belgium,Pakistan,1651
Belgium,Paraguay,17130
Belgium,Peru,8289
Belgium,Philippines,21759
Belgium,Poland,42064
Belgium,Portugal,1500
Belgium,Moldava.,23430
Belgium,Rep.,31829
Belgium,Romania,6130
Belgium,Seychelles,12629
Belgium,Singapore,130180
Belgium,Africa,4057
Belize,Barbados,517
Bolivia,Argentina,172885
Bolivia,Barbados,231
Bolivia,/Lux.,193
Bolivia,Belize,15609
Bolivia,Canada,61905
Bolivia,China,13297
Bolivia,Rep.,8281
Bolivia,Ecuador,1998
Bolivia,Egypt,358
Bolivia,French,2646
Bolivia,Guiana,1234
Bolivia,Rep.,48218
Bolivia,Mexico,3415
Bolivia,Morocco,30576
Bolivia,Netherlands,15743
Bolivia,Philippines,7416
Bolivia,Reunion,936
Bolivia,Slovenia,140405
Bolivia,Southern,26605
Bolivia,Africa,8052
Brazil,Australia,13925
Brazil,Barbados,614
Brazil,/Lux.,210
Brazil,Canada,5490
Brazil,China,3704
Brazil,Rep.,1350
Brazil,India,2684
Brazil,Indonesia,18832
Brazil,Rep.,35460
Brazil,Latvia,4312
Brazil,Madagascar,334
Brazil,Mexico,948
Brazil,Netherlands,1788
Brazil,Reunion,1126
Brazil,Slovenia,2032120
Brazil,Africa,2133
Canada,Argentina,19116
Canada,Belize,4114
Canada,Morocco,890
Canada,Netherlands,11265
Canada,Southern,1482
Chile,Algeria,11709
Chile,Argentina,9033
Chile,Australia,90620
Chile,Barbados,312
Chile,Bangladesh,5217
Chile,Belgium,30181
Chile,/Lux.,493
Chile,Belize,1296
Chile,Brazil,107506
Chile,Canada,12624
Chile,China,2537
Chile,Colombia,2420
Chile,Croatia,2418
Chile,Czech,28148
Chile,Rep.,3203
Chile,Denmark,14342
Chile,Ecuador,3066
Chile,Egypt,1813
Chile,El,12848
Chile,Finland,405577
Chile,France,21471
Chile,French,1398
Chile,Guiana,1180
Chile,Germany,1210980
Chile,Guatemala,3515
Chile,Honduras,32817
Chile,Hungary,69696
Chile,Iceland,290585
Chile,India,8014
Chile,Indonesia,53582
Chile,Ireland,9232
Chile,Italy,1843
Chile,Japan,39617
Chile,Korea.,3506
Chile,Of,7077
Chile,Kuwait,77687
Chile,Latvia,12810
Chile,Malaysia,13802
Chile,Mauritius,13953
Chile,Netherlands,6238
Chile,New,19865
Chile,Zealand,7180
Chile,Nicaragua,11485
Chile,Oman,869
Chile,Panama,167
Chile,Paraguay,113147
Chile,Philippines,23166
Chile,Poland,59911
Chile,Portugal,7923
Chile,Moldava.,23543
Chile,Of,44387
Chile,Reunion,1494
Chile,Romania,2539
Chile,Seychelles,4800
Chile,Singapore,114947
Chile,Slovenia,1066960
Chile,Southern,2057
China,Belize,1596
China,Canada,4574
China,Rep.,13093
China,Ecuador,1735
China,French,3643
China,Guiana,1356
China,Madagascar,482
China,Mexico,1812
China,Netherlands,8267
China,Africa,9711
Colombia,Peru,11930
Cyprus,Austria,40019
Cyprus,Colombia,2891
Cyprus,Denmark,7985
Cyprus,Finland,368238
Cyprus,Greece,13004
Cyprus,Zealand,8238
Cyprus,Pakistan,1566
Cyprus,Peru,4357
